Product Name,Price,Reviews
"Samsung Galaxy S25 Ultra AI Phone, 256GB Storage, 12GB RAM, Titanium Whitesilver, Android Smartphone, 200MP Camera, S Pen, Long Battery Life 1 Year Warranty/Local Version","5,699",188
"Itel P55 8GB RAM 128GB Storage Smartphone, 6.6 Inch Size, Aurora Blue - 1 Year Warranty/Local Version","8,888",764
"Xiaomi Redmi 15C Smartphone from 8 + 256 GB, Blue, Screen of 6.9 Inch 120 Hz, MediaTek Helio G81-Ultr, Camera from 50MP, Charger Included | 18 Month Local warranty","31,699",764
"Xiaomi Redmi Note 14 Pro+ 5G Smartphone, 12 + 512 GB, 200 MP Professional AI Camera, IP68, 120 W HyperCharge, AI Functions, Blue | 18 Month manufacturer warranty",160,200
"Xiaomi Redmi Note 14 Pro Smartphone, 12 + 512GB, Blue, 200MP Professional AI Camera, 5500mAh Battery, 32MP Selfie Camera, AI Functions | 1 year manufacturer warranty",100,200
"Samsung Galaxy A36 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Lavender, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",90,47
"Xiaomi Redmi 15C Smartphone from 6 + 128 GB, Blue, Screen of 6.9 Inch 120 Hz, MediaTek Helio G81-Ultr, Camera from 50MP, Charger Included | 18 Month Local warranty",250,"1,975"
"Samsung Galaxy A56 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Olive, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","13,260",14
"Samsung Galaxy A56 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Lightgray, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version","84,950",3
"Samsung Galaxy A26 5G, Android Smartphone, 128GB Storage, 6GB RAM, Peach Pink, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version","31,699",2
"Samsung Galaxy A26 5G, Android Smartphone, 256GB Storage, 8GB RAM, Peach Pink, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version","33,350",3
"Itel P55 8GB RAM 128GB Storage Smartphone, 6.6 Inch Size, Moonlit Black - 1 Year Warranty/Local Version","56,750",20
"Xiaomi Redmi Note 12 Dual SIM Smartphone with 4GB RAM, 128GB ROM, 6.67-Inch Display, 4G LTE Connectivity, High-Resolution Camera, Efficient Performance, Onyx Gray Enhanced Mobile Experience","17,999",13
"Nothing Phone (3a) 5G Smartphone, 6.77"" 120Hz AMOLED Display, 50MP Triple Camera System, Snapdragon 7s Gen3 Processor, Bluetooth 5.4, IP64 Waterproof, 5000mAh,Dual Nano-SIM, Android 15, 12+256GB White",100,14
"Grabist Magnetic Case for Iphone 15 Pro Max, Compatible with MagSafe, Built-in Camera metal frame, Translucent Matte Military-Grade Drop Protection Magnetic Case cover (blue Titanium)",139,"2,767"
"Mobile Magic Phone Chain, Removable, Phone Case Chain Lanyard, Mobile Phone Strap for Hanging, Mobile Phone Chain Adjustable with Cord & Pad, Lanyard for All Smartphones. (Black)",100,66
"Mobile Magic Phone Chain, Removable, Phone Case Chain Lanyard, Mobile Phone Strap for Hanging, Phone Chain Adjustable with Cord & Pad, Lanyard for All Smartphones.",114,201
Alrayaa Back Case Crystal Clear Glitter Compatible with Magsafe For Apple iPhone 15 Pro Max - Black,76,18
"Motorola Moto g85 5G 12GB RAM 256GB UFS Android 14 pOLED Smartphone, Cobalt Blue, 2 years Warranty (Pack include charger and cover)",250,72
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 512GB Storage, Silver Shadow, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, UAE Version",164,2
"Nothing Phone (3a) 5G Smartphone, 6.77"" 120Hz AMOLED Display, 50MP Triple Camera System, Snapdragon 7s Gen3 Processor, Bluetooth 5.4, IP64 Waterproof, 5000mAh,Dual Nano-SIM, Android 15, 12+256GB White","25,550",99
"Samsung Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Silver, 1 Year Warranty/Local Version","84,950",68
"HUAWEI nova 13 Pro Smartphone With 12GB RAM And 512GB Storage Capacity, OLED display with high refresh rate - Green","76,950",3
"REDMAGIC 10 Pro 144Hz Gaming Phone, 5G Android Smartphone, 16GB RAM+512GB ROM, Snapdragon 8 Elite, 6.85"" 1.5K AMOLED Full Screen, FHD+, 50MP Camera, Dual-Sim, Unlocked Mobile Phone Transparent",499,11
"Samsung Galaxy A36 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Black, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",437,360
"Samsung Galaxy Z Fold5 Folding Phone, Android Smartphone, 12GB RAM, 512GB Storage, Extended Battery Life, High Resolution Camera, Phantom Black (UAE Version)",100,13
"Motorola Edge 60 Fusion Smartphone 6.67"" Super HD Display, 50MP Camera with Moto AI 12/256GB, Android 15 Pantone Amazonite (Blue)",444,25
"Mobile Magic Phone Chain, Removable, Phone Case Chain Lanyard, Mobile Phone Strap for Hanging, Mobile Phone Chain Adjustable with Cord & Pad, Lanyard for All Smartphones. (Black)",65,1
"FASHION MANIA Phone Lanyard, Neck Strap and Wrist Tether Key Chain Holder Universal for Phone Case Anchor Fit All Smartphones (B)",316,4
"MIRUN - Wilderness Action / King Glory Game Mobile Handle, Smartphone for Android and iOS - Black Silver",814,10
"Generic Car Phone Holder - Fits All Smartphones, Thick Cases & Other Devices - Adjustable Vent Mount","13,499",27
Smartphone Gaming Controller,100,312
"Dl3 Mobilak Universal Phone Lanyard Crossbody, Rhinestone Cell Phone Chain Anti-Theft with 1× Shiny Phone Strap, 1× Pad for Most Smartphones, Diamond Phone Neck Holder for Women",100,480
"ELMO3EZZ Waterproof Smartphone Case, Waterproof Smartphone Case IPX8 Bag, Underwater Cell Phone Cover for iPhone 13 12 11 PRO Max Mini, Samsung S22/S21/S20, Huawei Xiaomi Up to 7.0""(Black)","5,272",30
"Google Pixel 7 Single SIM, 5G, 8GB Ram, 256GB, Obsidian, US Version, Bluetooth, Wi-Fi",499,"1,192"
"SAMSUNG Galaxy Z Fold6, AI Phone, 12GB RAM, 512GB Storage, Silver Shadow, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, UAE Version","1,550",3
"SAMSUNG Galaxy Z Fold6, 12GB RAM, 256GB Storage, Navy, Big Screen, 1 year Seller Warranty (International Version)","6,600",2
"GOLDEN MASK Compatible With iPhone 15 Pro Max Case with Camera Protection, with Mag-safe Case Magnetic with Stand (Blue)",443,3
"Pass Case - Stylish Smartphone Pouch for Women, Combining Fashion and Functionality with Multiple Compartments for Cards and Essentials, Available in a Range of Colors",249,9
AK-16 PUBG Smart Phone Gaming Controller,"2,200",4
MEMO Smartphone Gaming Controller AK-66,"1,400",364
"Smartphone Bag - Chic and Versatile Pochette for Women, Ideal for Daily Use with Ample Space for Cards and Essentials, Available in Various Colors",129,3
W10 PUBG & Free Fire Smartphone Controller,97,"1,377"
"Selfie Stick with LED Fill Light,3C Phone Tripod Stand with Bluetooth Wireless Remote & 360°Rotation Long Selfie Stick Compatible with iPhone/OnePlus/Samsung/Realme & All Smartphones/Go Pro(Black)",439,31
"instax mini EVO Hybrid camera and smartphone printer, BROWN",149,"3,599"
ONIKUMA PS4 Gaming Headset Xbox One Headphones with RGB LED Light Noise Canceling Mic for Nintendo Switch Xbox One S PC Smartphones Laptop Computer (K8 Camouflage),"1,149",303
"Fossil Gen 6 44mm Touchscreen Smartwatch with Alexa Built-In, Heart Rate, Blood Oxygen, Activity Tracking, GPS, Speaker, Smartphone Notifications, Black, Modern","9,175",12
L1 R1 PUBG Mobile Trigger Controller L1R1 Shoot Fire Button Smartphone Game Joystick Gamepad,950,110
"Other Mobile Game Controller PUBG Shoot Aim for 4.7-6.5 inch Smartphone (Android/IOS) - Gamepad, IR, Black","1,774",64
Lacoste LCST Smartphone Holder with Pocket,"4,999",8
"LENOK 360° adjustable Vacuum Magnetic Suction Cup Phone Mount, Adjustable Hands-Free Suction Cup Phone Holder for Car/Gym/Mirror/Smooth Surface, Compatible with iPhone Android and All Smartphones.",777,216
"Smartphone Video Rig LED Ring Light, Rechargeable Handheld Phone Video Stabilizer, 8000mAh Built-in Battery for Recording & Streaming, Camera, YouTube, Tiktok, Makeup",225,360
Fujifilm Instax Mini Link 3 Smartphone Printer - Clay White,"25,550",13
"Smartphone Pouch - Stylish and Functional Cross-angled Holder for Women, Perfect for Commuting with Multiple Colors and Card Slots for Convenience","84,950",25
"sonsen Colorful Gamepad AK-16 Pubg Remote Controller Gamepad Alloy Metal Triggers L1 R1 Shooting Aim Button Handle Joystick Compatible with All Smartphones Upto 6.5"" inch","76,950",3
"GUB Universal Bike Bicycle Mount for Mobile Phone, Smartphone, Sat Nav etc.",180,2
"TELESIN° Smartphone Stand, Sleeping Tablet Stand, Smartphone Arm Stand, Bed, Portable, Fixed Stand, Smartphone Holder, Lazy Stand, 360° Rotation, Tabletop, Flexible Arm, Smartphone, Stand, Birds-eye",100,3
Memo DL88 Mobile Game Shield with Instant Cooling Compatible with Smartphones -5V 1-2A Consumption - Black,100,12
"Other Mobile Game Controller PUBG Shoot Aim for 4.7-6.5 inch Smartphone (Android/IOS) - Gamepad, IR, Black","1,774","1,377"
"Silicone Double-Sided Suction Phone Case Detachable Mount – Hands-Free Grip Stand for Selfies, Video Calls, Streaming & More – Durable, Reusable & Compatible with Most Smartphones (Fuchsia)",249,31
"Commuter Holder - Elegant Smartphone Bag for Women, Featuring a Cross-angled Design with Card Case Functionality, Perfect for On-the-Go Lifestyle in Various Colors",443,8
PUBG Mobile Game Fire Button Aim Key Smart phone Gaming Trigger Shooter Controller Gamepad,"2,200",30
Compatible With VR SHINECON Headset Virtual Reality Headset Glasses - for 3D VR Movies Video Games Compatible for Any Mobile Smartphone,777,11
Casio AW 500Bb 1E G Shock Analog Digital Watch,814,2
"Verilux® Phone Cooler for Gaming, Universal Moblie Cooler with Two Cooling Modes, Mobile Phone Radiator Case for iPhone Android Smartphones from 4.5 to 7in, Cell Phone Cooler for Live Streaming Use",300,56
"Shenbo Kids Smartphone Watch | Anti-lost Smartwatches with HD Touch Screen, Phone Call Text Messaging LBS Tracker Watch for Boy Girl Birthday Gifts, Kids Phone","12,399",64
"Zhiyun Smooth Q4 Gimbal Stabilizer for iPhone Smartphone,3-Axis Foldable Phone Gimbal Built-in Selfie Stick for Vlogging YouTube TikTok",97,1
"Kotion Each Gaming Headset - With Mic, Volume Control and Cool LED Lights - Compatible with PC, Laptop, Smartphone, PS4 and Xbox One Controller, G2000 (Red)",149,107
"Selfie Stick Tripod 170CM with Wireless Remote, Cellphone Selfie Stick Tripod with LED Fill Light, for iPhone 15/14/14 pro/13/13 Pro/12/11/11 Pro/XS Max/XS/XR/X/8/7 and Android Smartphone (P9 LED)","1,241",48
Ulanzi MT-34 Mini Mobile Phone Tripod with 360° Ball Joint Tripod for Smartphone Camera iPhone Samsung DSLR Canon Sony,129,64
"Google Pixel 7 Single SIM, 5G, 8GB Ram, 256GB, Obsidian, US Version, Bluetooth, Wi-Fi",499,303
